Name,Category,Type1,Type2,Height,Weight,Ability1,Ability2,Description,Ability3
Omastar,Spiral Pokemon,Rock,Water,3ft.3in. (0.99m),77.2 lbs (35.0 kg),Shell Armor,Swift Swim,It is thought that this Pokemon became extinct because its spiral shell grew too large.,Weak Armor
Kabuto,Shellfish Pokemon,Rock,Water,1ft.8in. (0.51m),25.4 lbs (11.5 kg),Battle Armor,Swift Swim,It is thought to have inhabited beaches 300 million years ago. It is protected by a stiff shell.,Weak Armor
Kabutops,Shellfish Pokemon,Rock,Water,4ft.3in. (1.30m),89.3 lbs (40.5 kg),Battle Armor,Swift Swim,It is thought that this Pokemon came onto land because its prey adapted to life on land.,Weak Armor
Aerodactyl,Fossil Pokemon,Rock,Flying,5ft.11in. (1.80m),130.1 lbs (59.0 kg),Pressure,Rock Head,A Pokemon that roamed the skies in the dinosaur era. Its teeth are like saw blades.,Unnerve
Snorlax,Sleeping Pokemon,Normal,,6ft.11in. (2.11m),1014.1 lbs (460.0 kg),Immunity,Thick Fat,"When its belly is full, it becomes too lethargic to even lift a finger, so it is safe to bounce on its belly.",Gluttony
Articuno,Freeze Pokemon,Ice,Flying,5ft.7in. (1.70m),122.1 lbs (55.4 kg),Pressure,Snow Cloak,A legendary bird Pokemon. It can create blizzards by freezing moisture in the air.,
Zapdos,Electric Pokemon,Electric,Flying,5ft.3in. (1.60m),116 lbs (52.6 kg),Pressure,Lightning Rod,A legendary Pokemon that is said to live in thunderclouds. It freely controls lightning bolts.,
Moltres,Flame Pokemon,Fire,Flying,6ft.7in. (2.01m),132.3 lbs (60.0 kg),Pressure,Flame Body,One of the legendary bird Pokemon. It is said that its appearance indicates the coming of spring.,
Dratini,Dragon Pokemon,Dragon,,5ft.11in. (1.80m),7.3 lbs (3.3 kg),Shed Skin,Marvel Scale,It is called the Mirage Pokemon because so few have seen it. Its shed skin has been found.,
Dragonair,Dragon Pokemon,Dragon,,13ft.1in. (3.99m),36.4 lbs (16.5 kg),Shed Skin,Marvel Scale,"If its body takes on an aura, the weather changes instantly. It is said to live in seas and lakes.",
Dragonite,Dragon Pokemon,Dragon,Flying,7ft.3in. (2.21m),463 lbs (210.0 kg),Inner Focus,Multiscale,It is said to make its home somewhere in the sea. It guides crews of shipwrecks to shore.,
Mewtwo,Genetic Pokemon,Psychic,,6ft.7in. (2.01m),269 lbs (122.0 kg),Pressure,Unnerve,A Pokemon created by recombining Mews genes. Its said to have the most savage heart among Pokmon.,
Mew,New Species Pokemon,Psychic,,1ft.4in. (0.41m),8.8 lbs (4.0 kg),Synchronize,,"Mew is said to possess the genetic composition of all Pokemon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.",
Chikorita,Leaf Pokemon,Grass,,(0.9m),(6.4 kg),Overgrow,Leaf Guard,Description not available yet,
Bayleef,Leaf Pokemon,Grass,,(1.2m),(15.8 kg),Overgrow,Leaf Guard,Description not available yet,
Meganium,Herb Pokemon,Grass,,(1.8m),(100.5 kg),Overgrow,Leaf Guard,Description not available yet,
Cyndaquil,Fire Mouse Pokemon,Fire,,(0.5m),(7.9 kg),Blaze,Flash Fire,Description not available yet,
Quilava,Volcano Pokemon,Fire,,(0.9m),(19 kg),Blaze,Flash Fire,Description not available yet,
Typhlosion,Volcano Pokemon,Fire,,(1.7m),(79.5 kg),Blaze,Flash Fire,Description not available yet,
Totodile,Big Jaw Pokemon,Water,,(0.6m),(9.5 kg),Torrent,Sheer Force,Description not available yet,
Croconaw,Big Jaw Pokemon,Water,,(1.1m),(25 kg),Torrent,Sheer Force,Description not available yet,
Feraligatr,Big Jaw Pokemon,Water,,(2.3m),(88.8 kg),Torrent,Sheer Force,Description not available yet,
Sentret,Scout Pokemon,Normal,,(0.8m),(6 kg),Run Away,Keen Eye,Description not available yet,Frisk
Furret,Long Body Pokemon,Normal,,(1.8m),(32.5 kg),Run Away,Keen Eye,Description not available yet,Frisk
Hoothoot,Owl Pokemon,Normal,Flying,(0.7m),(21.2 kg),Insomnia,Keen Eye,Description not available yet,Tinted Lens
Noctowl,Owl Pokemon,Normal,Flying,(1.6m),(40.8 kg),Insomnia,Keen Eye,Description not available yet,Tinted Lens
Ledyba,Five Star Pokemon,Bug,Flying,(1m),(10.8 kg),Swarm,Early Bird,Description not available yet,Rattled
Ledian,Five Star Pokemon,Bug,Flying,(1.4m),(35.6 kg),Swarm,Early Bird,Description not available yet,Iron Fist
Spinarak,String Spit Pokemon,Bug,Poison,(0.5m),(8.5 kg),Swarm,Insomnia,Description not available yet,Sniper
Ariados,Long Leg Pokemon,Bug,Poison,(1.1m),(33.5 kg),Swarm,Insomnia,Description not available yet,Sniper
Crobat,Bat Pokemon,Poison,Flying,(1.8m),(75 kg),Inner Focus,Infiltrator,Description not available yet,
Chinchou,Angler Pokemon,Water,Electric,(0.5m),(12 kg),Volt Absorb,Illuminate,Description not available yet,Water Absorb
Lanturn,Light Pokemon,Water,Electric,(1.2m),(22.5 kg),Volt Absorb,Illuminate,Description not available yet,Water Absorb
Pichu,Tiny Mouse Pokemon,Electric,,(0.3m),(2 kg),Static,Lightningrod,Description not available yet,
Cleffa,Star Shape Pokemon,Fairy,,(0.3m),(3 kg),Cute Charm,Magic Guard,Description not available yet,Friend Guard
Igglybuff,Balloon Pokemon,Normal,Fairy,(0.3m),(1 kg),Cute Charm,Competitive,Description not available yet,Friend Guard
Togepi,Spike Ball Pokemon,Fairy,,(0.3m),(1.5 kg),Hustle,Serene Grace,Description not available yet,Super Luck
Togetic,Happiness Pokemon,Fairy,Flying,(0.6m),(3.2 kg),Hustle,Serene Grace,Description not available yet,Super Luck
Natu,Little Bird Pokemon,Psychic,Flying,(0.2m),(2 kg),Synchronize,Early Bird,Description not available yet,Magic Bounce
Xatu,Mystic Pokemon,Psychic,Flying,(1.5m),(15 kg),Synchronize,Early Bird,Description not available yet,Magic Bounce
Mareep,Wool Pokemon,Electric,,(0.6m),(7.8 kg),Static,Plus,Description not available yet,
Flaaffy,Wool Pokemon,Electric,,(0.8m),(13.3 kg),Static,Plus,Description not available yet,
Ampharos,Light Pokemon,Electric,,(1.4m),(61.5 kg),Static,Plus,Description not available yet,
Bellossom,Flower Pokemon,Grass,,(0.4m),(5.8 kg),Chlorophyll,Healer,Description not available yet,
Marill,Aquamouse Pokemon,Water,Fairy,(0.4m),(8.5 kg),Thick Fat,Huge Power,Description not available yet,Sap Sipper
Azumarill,Aquarabbit Pokemon,Water,Fairy,(0.8m),(28.5 kg),Thick Fat,Huge Power,Description not available yet,Sap Sipper
Sudowoodo,Imitation Pokemon,Rock,,(1.2m),(38 kg),Sturdy,Rock Head,Description not available yet,Rattled
Politoed,Frog Pokemon,Water,,(1.1m),(33.9 kg),Water Absorb,Damp,Description not available yet,Drizzle
Hoppip,Cottonweed Pokemon,Grass,Flying,(0.4m),(0.5 kg),Chlorophyll,Leaf Guard,Description not available yet,Infiltrator
Skiploom,Cottonweed Pokemon,Grass,Flying,(0.6m),(1 kg),Chlorophyll,Leaf Guard,Description not available yet,Infiltrator
Jumpluff,Cottonweed Pokemon,Grass,Flying,(0.8m),(3 kg),Chlorophyll,Leaf Guard,Description not available yet,Infiltrator
Aipom,Long Tail Pokemon,Normal,,(0.8m),(11.5 kg),Run Away,Pickup,Description not available yet,Skill Link
Sunkern,Seed Pokemon,Grass,,(0.3m),(1.8 kg),Chlorophyll,Solar Power,Description not available yet,Early Bird
Sunflora,Sun Pokemon,Grass,,(0.8m),(8.5 kg),Chlorophyll,Solar Power,Description not available yet,Early Bird
Yanma,Clear Wing Pokemon,Bug,Flying,(1.2m),(38 kg),Speed Boost,Compoundeyes,Description not available yet,Frisk
Wooper,Water Fish Pokemon,Water,Ground,(0.4m),(8.5 kg),Damp,Water Absorb,Description not available yet,Unaware
Quagsire,Water Fish Pokemon,Water,Ground,(1.4m),(75 kg),Damp,Water Absorb,Description not available yet,Unaware
Espeon,Sun Pokemon,Psychic,,(0.9m),(26.5 kg),Synchronize,Magic Bounce,Description not available yet,
Umbreon,Moonlight Pokemon,Dark,,(1m),(27 kg),Synchronize,Inner Focus,Description not available yet,
Murkrow,Darkness Pokemon,Dark,Flying,(0.5m),(2.1 kg),Insomnia,Super Luck,Description not available yet,Prankster
Slowking,Royal Pokemon,Water,Psychic,(2m),(79.5 kg),Oblivious,Own Tempo,Description not available yet,Regenerator
Misdreavus,Screech Pokemon,Ghost,,(0.7m),(1 kg),Levitate,,Description not available yet,
Unown,Symbol Pokemon,Psychic,,(0.5m),(5 kg),Levitate,,Description not available yet,
Wobbuffet,Patient Pokemon,Psychic,,(1.3m),(28.5 kg),Shadow Tag,Telepathy,Description not available yet,
Girafarig,Long Neck Pokemon,Normal,Psychic,(1.5m),(41.5 kg),Inner Focus,Early Bird,Description not available yet,Sap Sipper
Pineco,Bagworm Pokemon,Bug,,(0.6m),(7.2 kg),Sturdy,Overcoat,Description not available yet,
Forretress,Bagworm Pokemon,Bug,Steel,(1.2m),(125.8 kg),Sturdy,Overcoat,Description not available yet,
Dunsparce,Land Snake Pokemon,Normal,,(1.5m),(14 kg),Serene Grace,Run Away,Description not available yet,Rattled
Gligar,Flyscorpion Pokemon,Ground,Flying,(1.1m),(64.8 kg),Hyper Cutter,Sand Veil,Description not available yet,Immunity
Steelix,Iron Snake Pokemon,Steel,Ground,(9.2m),(400 kg),Rock Head,Sturdy,Description not available yet,Sheer Force
Snubbull,Fairy Pokemon,Fairy,,(0.6m),(7.8 kg),Intimidate,Run Away,Description not available yet,Rattled
Granbull,Fairy Pokemon,Fairy,,(1.4m),(48.7 kg),Intimidate,Quick Feet,Description not available yet,Rattled
Qwilfish,Balloon Pokemon,Water,Poison,(0.5m),(3.9 kg),Poison Point,Swift Swim,Description not available yet,Intimidate
Scizor,Pincer Pokemon,Bug,Steel,(1.8m),(118 kg),Swarm,Technician,Description not available yet,Light Metal
Shuckle,Mold Pokemon,Bug,Rock,(0.6m),(20.5 kg),Sturdy,Gluttony,Description not available yet,Contrary
Heracross,Singlehorn Pokemon,Bug,Fighting,(1.5m),(54 kg),Swarm,Guts,Description not available yet,Moxie
Sneasel,Sharp Claw Pokemon,Dark,Ice,(0.9m),(28 kg),Inner Focus,Keen Eye,Description not available yet,Pickpocket
Teddiursa,Little Bear Pokemon,Normal,,(0.6m),(8.8 kg),Pickup,Quick Feet,Description not available yet,Honey Gather
Ursaring,Hibernator Pokemon,Normal,,(1.8m),(125.8 kg),Guts,Quick Feet,Description not available yet,Unnerve
Slugma,Lava Pokemon,Fire,,(0.7m),(35 kg),Magma Armor,Flame Body,Description not available yet,Weak Armor
Magcargo,Lava Pokemon,Fire,Rock,(0.8m),(55 kg),Magma Armor,Flame Body,Description not available yet,Weak Armor
Swinub,Pig Pokemon,Ice,Ground,(0.4m),(6.5 kg),Oblivious,Snow Cloak,Description not available yet,Thick Fat
Piloswine,Swine Pokemon,Ice,Ground,(1.1m),(55.8 kg),Oblivious,Snow Cloak,Description not available yet,Thick Fat
Corsola,Coral Pokemon,Water,Rock,(0.6m),(5 kg),Hustle,Natural Cure,Description not available yet,Regenerator
Remoraid,Jet Pokemon,Water,,(0.6m),(12 kg),Hustle,Sniper,Description not available yet,Moody
Octillery,Jet Pokemon,Water,,(0.9m),(28.5 kg),Suction Cups,Sniper,Description not available yet,Moody
Delibird,Delivery Pokemon,Ice,Flying,(0.9m),(16 kg),Vital Spirit,Hustle,Description not available yet,Insomnia
Mantine,Kite Pokemon,Water,Flying,(2.1m),(220 kg),Swift Swim,Water Absorb,Description not available yet,Water Veil
Skarmory,Armor Bird Pokemon,Steel,Flying,(1.7m),(50.5 kg),Keen Eye,Sturdy,Description not available yet,Weak Armor
Houndour,Dark Pokemon,Dark,Fire,(0.6m),(10.8 kg),Early Bird,Flash Fire,Description not available yet,Unnerve
Houndoom,Dark Pokemon,Dark,Fire,(1.4m),(35 kg),Early Bird,Flash Fire,Description not available yet,Unnerve
Kingdra,Dragon Pokemon,Water,Dragon,(1.8m),(152 kg),Swift Swim,Sniper,Description not available yet,Damp
Phanpy,Long Nose Pokemon,Ground,,(0.5m),(33.5 kg),Pickup,Sand Veil,Description not available yet,
Donphan,Armor Pokemon,Ground,,(1.1m),(120 kg),Sturdy,Sand Veil,Description not available yet,
Porygon2,Virtual Pokemon,Normal,,(0.6m),(32.5 kg),Trace,Download,Description not available yet,Analytic
Stantler,Big Horn Pokemon,Normal,,(1.4m),(71.2 kg),Intimidate,Frisk,Description not available yet,Sap Sipper
Smeargle,Painter Pokemon,Normal,,(1.2m),(58 kg),Own Tempo,Technician,Description not available yet,Moody
Tyrogue,Scuffle Pokemon,Fighting,,(0.7m),(21 kg),Guts,Steadfast,Description not available yet,Vital Spirit
Hitmontop,Handstand Pokemon,Fighting,,(1.4m),(48 kg),Intimidate,Technician,Description not available yet,Steadfast
Smoochum,Kiss Pokemon,Ice,Psychic,(0.4m),(6 kg),Oblivious,Forewarn,Description not available yet,Hydration
Elekid,Electric Pokemon,Electric,,(0.6m),(23.5 kg),Static,Vital Spirit,Description not available yet,
Magby,Live Coal Pokemon,Fire,,(0.7m),(21.4 kg),Flame Body,Vital Spirit,Description not available yet,
Miltank,Milk Cow Pokemon,Normal,,(1.2m),(75.5 kg),Thick Fat,Scrappy,Description not available yet,Sap Sipper
Blissey,Happiness Pokemon,Normal,,(1.5m),(46.8 kg),Natural Cure,Serene Grace,Description not available yet,Healer
Raikou,Thunder Pokemon,Electric,,(1.9m),(178 kg),Pressure,Inner Focus,Description not available yet,
Entei,Volcano Pokemon,Fire,,(2.1m),(198 kg),Pressure,Inner Focus,Description not available yet,
Suicune,Aurora Pokemon,Water,,(2m),(187 kg),Pressure,Inner Focus,Description not available yet,
Larvitar,Rock Skin Pokemon,Rock,Ground,(0.6m),(72 kg),Guts,Sand Veil,Description not available yet,
Pupitar,Hard Shell Pokemon,Rock,Ground,(1.2m),(152 kg),Shed Skin,,Description not available yet,
Tyranitar,Armor Pokemon,Rock,Dark,(2m),(202 kg),Sand Stream,Unnerve,Description not available yet,
Lugia,Diving Pokemon,Psychic,Flying,(5.2m),(216 kg),Pressure,Multiscale,Description not available yet,
Ho-Oh,Rainbow Pokemon,Fire,Flying,(3.8m),(199 kg),Pressure,Regenerator,Description not available yet,
Celebi,Time Travel Pokemon,Psychic,Grass,(0.6m),(5 kg),Natural Cure,,Description not available yet,
Treecko,Wood Gecko Pokemon,Grass,,(0.5m),(5 kg),Overgrow,Unburden,Description not available yet,
Grovyle,Wood Gecko Pokemon,Grass,,(0.9m),(21.6 kg),Overgrow,Unburden,Description not available yet,
Sceptile,Forest Pokemon,Grass,,(1.7m),(52.2 kg),Overgrow,Unburden,Description not available yet,
Torchic,Chick Pokemon,Fire,,(0.4m),(2.5 kg),Blaze,Speed Boost,Description not available yet,
Combusken,Young Fowl Pokemon,Fire,Fighting,(0.9m),(19.5 kg),Blaze,Speed Boost,Description not available yet,
Blaziken,Blaze Pokemon,Fire,Fighting,(1.9m),(52 kg),Blaze,Speed Boost,Description not available yet,
Mudkip,Mud Fish Pokemon,Water,,(0.4m),(7.6 kg),Torrent,Damp,Description not available yet,
Marshtomp,Mud Fish Pokemon,Water,Ground,(0.7m),(28 kg),Torrent,Damp,Description not available yet,
Swampert,Mud Fish Pokemon,Water,Ground,(1.5m),(81.9 kg),Torrent,Damp,Description not available yet,
Poochyena,Bite Pokemon,Dark,,(0.5m),(13.6 kg),Run Away,Quick Feet,Description not available yet,Rattled
Mightyena,Bite Pokemon,Dark,,(1m),(37 kg),Intimidate,Quick Feet,Description not available yet,Moxie
Zigzagoon,Tiny Racoon Pokemon,Normal,,(0.4m),(17.5 kg),Pickup,Gluttony,Description not available yet,Quick Feet
Linoone,Rush Pokemon,Normal,,(0.5m),(32.5 kg),Pickup,Gluttony,Description not available yet,Quick Feet
Wurmple,Worm Pokemon,Bug,,(0.3m),(3.6 kg),Shield Dust,Run Away,Description not available yet,
Silcoon,Cocoon Pokemon,Bug,,(0.6m),(10 kg),Shed Skin,,Description not available yet,
Beautifly,Butterfly Pokemon,Bug,Flying,(1m),(28.4 kg),Swarm,Rivalry,Description not available yet,
Cascoon,Cocoon Pokemon,Bug,,(0.7m),(11.5 kg),Shed Skin,,Description not available yet,
Dustox,Poison Moth Pokemon,Bug,Poison,(1.2m),(31.6 kg),Shield Dust,Compoundeyes,Description not available yet,
Lotad,Water Weed Pokemon,Water,Grass,(0.5m),(2.6 kg),Swift Swim,Rain Dish,Description not available yet,Own Tempo
Lombre,Jolly Pokemon,Water,Grass,(1.2m),(32.5 kg),Swift Swim,Rain Dish,Description not available yet,Own Tempo
Ludicolo,Carefree Pokemon,Water,Grass,(1.5m),(55 kg),Swift Swim,Rain Dish,Description not available yet,Own Tempo
Seedot,Acorn Pokemon,Grass,,(0.5m),(4 kg),Chlorophyll,Early Bird,Description not available yet,Pickpocket
Nuzleaf,Wily Pokemon,Grass,Dark,(1m),(28 kg),Chlorophyll,Early Bird,Description not available yet,Pickpocket
Shiftry,Wickid Pokemon,Grass,Dark,(1.3m),(59.6 kg),Chlorophyll,Early Bird,Description not available yet,Pickpocket
Taillow,TinySwallow Pokemon,Normal,Flying,(0.3m),(2.3 kg),Guts,Scrappy,Description not available yet,
Swellow,Swallow Pokemon,Normal,Flying,(0.7m),(19.8 kg),Guts,Scrappy,Description not available yet,
Wingull,Seagull Pokemon,Water,Flying,(0.6m),(9.5 kg),Keen Eye,Hydration,Description not available yet,Rain Dish
Pelipper,Water Bird Pokemon,Water,Flying,(1.2m),(28 kg),Keen Eye,Drizzle,Description not available yet,Rain Dish
Ralts,Feeling Pokemon,Psychic,Fairy,(0.4m),(6.6 kg),Synchronize,Trace,Description not available yet,Telepathy
Kirlia,Emotion Pokemon,Psychic,Fairy,(0.8m),(20.2 kg),Synchronize,Trace,Description not available yet,Telepathy
Gardevoir,Embrace Pokemon,Psychic,Fairy,(1.6m),(48.4 kg),Synchronize,Trace,Description not available yet,Telepathy
Surskit,Pond Skater Pokemon,Bug,Water,(0.5m),(1.7 kg),Swift Swim,Rain Dish,Description not available yet,
Masquerain,Eyeball Pokemon,Bug,Flying,(0.8m),(3.6 kg),Intimidate,Unnerve,Description not available yet,
Shroomish,Mushroom Pokemon,Grass,,(0.4m),(4.5 kg),Effect Spore,Poison Heal,Description not available yet,Quick Feet
Breloom,Mushroom Pokemon,Grass,Fighting,(1.2m),(39.2 kg),Effect Spore,Poison Heal,Description not available yet,Technician
Slakoth,Slacker Pokemon,Normal,,(0.8m),(24 kg),Truant,,Description not available yet,
Vigoroth,Wild Monkey Pokemon,Normal,,(1.4m),(46.5 kg),Vital Spirit,,Description not available yet,
Slaking,Lazy Pokemon,Normal,,(2m),(130.5 kg),Truant,,Description not available yet,
Nincada,Trainee Pokemon,Bug,Ground,(0.5m),(5.5 kg),Compoundeyes,Run Away,Description not available yet,
Ninjask,Ninja Pokemon,Bug,Flying,(0.8m),(12 kg),Speed Boost,Infiltrator,Description not available yet,
Shedinja,Shed Pokemon,Bug,Ghost,(0.8m),(1.2 kg),Wonder Guard,,Description not available yet,
Whismur,Whisper Pokemon,Normal,,(0.6m),(16.3 kg),Soundproof,Rattled,Description not available yet,
Loudred,Big Voice Pokemon,Normal,,(1m),(40.5 kg),Soundproof,Scrappy,Description not available yet,
Exploud,Loud Noise Pokemon,Normal,,(1.5m),(84 kg),Soundproof,Scrappy,Description not available yet,
Makuhita,Guts Pokemon,Fighting,,(1m),(86.4 kg),Thick Fat,Guts,Description not available yet,Sheer Force
Hariyama,Arm Thrust Pokemon,Fighting,,(2.3m),(253.8 kg),Thick Fat,Guts,Description not available yet,Sheer Force
Azurill,Polka Dot Pokemon,Normal,Fairy,(0.2m),(2 kg),Thick Fat,Huge Power,Description not available yet,Sap Sipper
Nosepass,Compass Pokemon,Rock,,(1m),(97 kg),Sturdy,Magnet Pull,Description not available yet,Sand Force
Skitty,Kitten Pokemon,Normal,,(0.6m),(11 kg),Cute Charm,Normalize,Description not available yet,Wonder Skin 
Delcatty,Prim Pokemon,Normal,,(1.1m),(32.6 kg),Cute Charm,Normalize,Description not available yet,Wonder Skin 
Sableye,Darkness Pokemon,Dark,Ghost,(0.5m),(11 kg),Keen Eye,Stall,Description not available yet,Prankster
Mawile,Deceiver Pokemon,Steel,Fairy,(0.6m),(11.5 kg),Hyper Cutter,Intimidate,Description not available yet,Sheer Force
Aron,Iron Armor Pokemon,Steel,Rock,(0.4m),(60 kg),Sturdy,Rock Head,Description not available yet,Heavy Metal
Lairon,Iron Armor Pokemon,Steel,Rock,(0.9m),(120 kg),Sturdy,Rock Head,Description not available yet,Heavy Metal
Aggron,Iron Armor Pokemon,Steel,Rock,(2.1m),(360 kg),Sturdy,Rock Head,Description not available yet,Heavy Metal
Meditite,Meditate Pokemon,Fighting,Psychic,(0.6m),(11.2 kg),Pure Power,Telepathy,Description not available yet,
Medicham,Meditate Pokemon,Fighting,Psychic,(1.3m),(31.5 kg),Pure Power,Telepathy,Description not available yet,
Electrike,Lightning Pokemon,Electric,,(0.6m),(15.2 kg),Static,Lightningrod,Description not available yet,Minus
Manectric,Discharge Pokemon,Electric,,(1.5m),(40.2 kg),Static,Lightningrod,Description not available yet,Minus
Plusle,Cheering Pokemon,Electric,,(0.4m),(4.2 kg),Plus,Lightningrod,Description not available yet,
Minun,Cheering Pokemon,Electric,,(0.4m),(4.2 kg),Minus,Volt Absorb,Description not available yet,
Volbeat,Firefly Pokemon,Bug,,(0.7m),(17.7 kg),Illuminate,Swarm,Description not available yet,Prankster
Illumise,Firefly Pokemon,Bug,,(0.6m),(17.7 kg),Oblivious,Tinted Lens,Description not available yet,Prankster
Roselia,Thorn Pokemon,Grass,Poison,(0.3m),(2 kg),Natural Cure,Poison Point,Description not available yet,Leaf Guard
Gulpin,Stomach Pokemon,Poison,,(0.4m),(10.3 kg),Liquid Ooze,Sticky Hold,Description not available yet,Gluttony
Swalot,Poison Bag Pokemon,Poison,,(1.7m),(80 kg),Liquid Ooze,Sticky Hold,Description not available yet,Gluttony
Carvanha,Savage Pokemon,Water,Dark,(0.8m),(20.8 kg),Rough Skin,Speed Boost,Description not available yet,
Sharpedo,Brutal Pokemon,Water,Dark,(1.8m),(88.8 kg),Rough Skin,Speed Boost,Description not available yet,
Wailmer,Ball Whale Pokemon,Water,,(2m),(130 kg),Water Veil,Oblivious,Description not available yet,Pressure
Wailord,Float Whale Pokemon,Water,,(14.5m),(398 kg),Water Veil,Oblivious,Description not available yet,Pressure
Numel,Numb Pokemon,Fire,Ground,(0.7m),(24 kg),Oblivious,Simple,Description not available yet,Own Tempo
Camerupt,Eruption Pokemon,Fire,Ground,(1.9m),(220 kg),Magma Armor,Solid Rock,Description not available yet,Anger Point
Torkoal,Coal Pokemon,Fire,,(0.5m),(80.4 kg),White Smoke,Drought,Description not available yet,Shell Armor
Spoink,Bounce Pokemon,Psychic,,(0.7m),(30.6 kg),Thick Fat,Own Tempo,Description not available yet,Gluttony
Grumpig,Manipulate Pokemon,Psychic,,(0.9m),(71.5 kg),Thick Fat,Own Tempo,Description not available yet,Gluttony
Spinda,Spot Panda Pokemon,Normal,,(1.1m),(5 kg),Own Tempo,Tangled Feet,Description not available yet,Contrary
Trapinch,Ant Pit Pokemon,Ground,,(0.7m),(15 kg),Hyper Cutter,Arena Trap,Description not available yet,Sheer Force
Vibrava,Vibration Pokemon,Ground,Dragon,(1.1m),(15.3 kg),Levitate,,Description not available yet,
Flygon,Mystic Pokemon,Ground,Dragon,(2m),(82 kg),Levitate,,Description not available yet,
Cacnea,Cactus Pokemon,Grass,,(0.4m),(51.3 kg),Sand Veil,Water Absorb,Description not available yet,
Cacturne,Scarecrow Pokemon,Grass,Dark,(1.3m),(77.4 kg),Sand Veil,Water Absorb,Description not available yet,
Swablu,Cotton Bird Pokemon,Normal,Flying,(0.4m),(1.2 kg),Natural Cure,Cloud Nine,Description not available yet,
Altaria,Humming Pokemon,Dragon,Flying,(1.1m),(20.6 kg),Natural Cure,Cloud Nine,Description not available yet,
Zangoose,Cat Ferret Pokemon,Normal,,(1.3m),(40.3 kg),Immunity,Toxic Boost,Description not available yet,
Seviper,Fang Snake Pokemon,Poison,,(2.7m),(52.5 kg),Shed Skin,Infiltrator,Description not available yet,
Lunatone,Meteorite Pokemon,Rock,Psychic,(1m),(168 kg),Levitate,,Description not available yet,
Solrock,Meteorite Pokemon,Rock,Psychic,(1.2m),(154 kg),Levitate,,Description not available yet,
Barboach,Whiskers Pokemon,Water,Ground,(0.4m),(1.9 kg),Oblivious,Anticipation,Description not available yet,Hydration
Whiscash,Whiskers Pokemon,Water,Ground,(0.9m),(23.6 kg),Oblivious,Anticipation,Description not available yet,Hydration
Corphish,Ruffian Pokemon,Water,,(0.6m),(11.5 kg),Hyper Cutter,Shell Armor,Description not available yet,Adaptability
Crawdaunt,Rogue Pokemon,Water,Dark,(1.1m),(32.8 kg),Hyper Cutter,Shell Armor,Description not available yet,Adaptability
Baltoy,Clay Doll Pokemon,Ground,Psychic,(0.5m),(21.5 kg),Levitate,,Description not available yet,
Claydol,Clay Doll Pokemon,Ground,Psychic,(1.5m),(108 kg),Levitate,,Description not available yet,
Lileep,Sea Lily Pokemon,Rock,Grass,(1m),(23.8 kg),Suction Cups,Storm Drain,Description not available yet,
Cradily,Barnacle Pokemon,Rock,Grass,(1.5m),(60.4 kg),Suction Cups,Storm Drain,Description not available yet,
Anorith,Old Shrimp Pokemon,Rock,Bug,(0.7m),(12.5 kg),Battle Armor,Swift Swim,Description not available yet,
Armaldo,Plate Pokemon,Rock,Bug,(1.5m),(68.2 kg),Battle Armor,Swift Swim,Description not available yet,
Feebas,Fish Pokemon,Water,,(0.6m),(7.4 kg),Swift Swim,Oblivious,Description not available yet,Adaptability
Milotic,Tender Pokemon,Water,,(6.2m),(162 kg),Marvel Scale,Competitive,Description not available yet,Cute Charm
Castform,Weather Pokemon,Normal,,(0.3m),(0.8 kg),Forecast,,Description not available yet,
Kecleon,Color Swap Pokemon,Normal,,(1m),(22 kg),Color Change,Protean,Description not available yet,
Shuppet,Puppet Pokemon,Ghost,,(0.6m),(2.3 kg),Insomnia,Frisk,Description not available yet,Cursed Body
Banette,Marionette Pokemon,Ghost,,(1.1m),(12.5 kg),Insomnia,Frisk,Description not available yet,Cursed Body
Duskull,Requiem Pokemon,Ghost,,(0.8m),(15 kg),Levitate,Frisk,Description not available yet,
Dusclops,Beckon Pokemon,Ghost,,(1.6m),(30.6 kg),Pressure,Frisk,Description not available yet,
Tropius,Fruit Pokemon,Grass,Flying,(2m),(100 kg),Chlorophyll,Solar Power,Description not available yet,Harvest
Chimecho,Wind Chime Pokemon,Psychic,,(0.6m),(1 kg),Levitate,,Description not available yet,
Absol,Disaster Pokemon,Dark,,(1.2m),(47 kg),Pressure,Super Luck,Description not available yet,Justified
Wynaut,Bright Pokemon,Psychic,,(0.6m),(14 kg),Shadow Tag,Telepathy,Description not available yet,
Snorunt,Snow Hat Pokemon,Ice,,(0.7m),(16.8 kg),Inner Focus,Ice Body,Description not available yet,Moody
Glalie,Face Pokemon,Ice,,(1.5m),(256.5 kg),Inner Focus,Ice Body,Description not available yet,Moody
Spheal,Clap Pokemon,Ice,Water,(0.8m),(39.5 kg),Thick Fat,Ice Body,Description not available yet,Oblivious
Sealeo,Ball Roll Pokemon,Ice,Water,(1.1m),(87.6 kg),Thick Fat,Ice Body,Description not available yet,Oblivious
Walrein,Ice Break Pokemon,Ice,Water,(1.4m),(150.6 kg),Thick Fat,Ice Body,Description not available yet,Oblivious
Clamperl,Bivalve Pokemon,Water,,(0.4m),(52.5 kg),Shell Armor,Rattled,Description not available yet,
Huntail,Deep Sea Pokemon,Water,,(1.7m),(27 kg),Swift Swim,Water Veil,Description not available yet,
